Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Roll,Pitch,YawIMU,MagX,MagY,MagZ,Lat,Lon,Alt,Speed,Course,Sats,PDOP,HDOP,VDOP
2025-06-06T17:50:10.540172,0.010,-0.032,-0.910,-13.489,-6.836,17.944,14.293,-29.949,40.419,-128305380748808945664.000,0,0,0,37.863159,-122.313171,1.0,3.370,172.15,36,0.00,0.40
2025-06-06T17:55:01.056693,-0.028,0.040,-0.914,-0.244,2.625,-2.075,14.431,-19.237,-35.843,-128305380748808945664.000,0,0,0,37.862732,-122.313187,-8.0,0.444,103.74,35,0.00,0.60
2025-06-06T17:55:01.150849,0.032,-0.949,-0.244,2.625,-2.075,14.431,-19.237,-35.843,-128305380748808945664.000,0,0,0,37.862732,-122.313187,-8.0,0.444,103.74,35,0.00,0.60,0.00
2025-06-06T17:55:01.202725,0.030,-0.986,3.235,2.869,-3.540,14.442,-19.517,-36.140,-128305380748808945664.000,0,0,0,37.862732,-122.313187,-8.0,0.444,103.74,35,0.00,0.60,0.00
2025-06-06T17:55:01.315884,0.022,-1.016,5.005,4.333,-3.662,14.431,-19.902,-36.513,-128305380748808945664.000,0,0,0,37.862736,-122.313187,-8.0,0.425,103.74,35,0.00,0.60,0.00
2025-06-06T17:55:01.405564,0.020,-1.023,5.981,4.395,-1.648,14.442,-20.391,-36.782,-128305380748808945664.000,0,0,0,37.862736,-122.313187,-8.0,0.425,103.74,35,0.00,0.60,0.00
2025-06-06T17:55:01.504014,0.010,-1.011,5.859,4.028,2.014,14.431,-20.825,-36.727,-128305380748808945664.000,0,0,0,37.862736,-122.313187,-8.0,0.407,103.74,35,0.00,0.60,0.00
2025-06-06T17:55:01.606530,-0.005,-0.978,5.005,1.892,6.592,14.458,-21.055,-36.255,-128305380748808945664.000,0,0,0,37.862736,-122.313187,-8.0,0.407,103.74,35,0.00,0.60,0.00
2025-06-06T17:55:01.708779,-0.030,-0.936,2.014,0.732,10.559,173.787,-20.737,-34.096,-128305380748808945664.000,0,0,0,37.862736,-122.313187,-8.0,0.351,103.74,35,0.00,0.60,0.00
2025-06-06T17:55:01.817889,-0.028,-0.888,2.014,0.732,10.559,14.447,-20.737,-34.096,-128305380748808945664.000,0,0,0,37.862736,-122.313187,-8.0,0.351,103.74,35,0.00,0.60,0.00
